"obsx","errx","obsy","erry","Type"
-0.279840696594043,0.1,6.61,0.04,"S"
-0.425968732272281,0.015,6.46,0.09,"E"
-0.0969100130080564,0.04,8.18,0.15,"S"
-0.289882634888184,0.094,7,0.3,"S"
0.0191162904470728,0.05,8.23,0.205,"E"
0.0191162904470728,0.05,7.64,0.04,"S0"
0.0563330349511615,0.0155,8.24,0.2,"S0"
0.205339721431523,0.0685,9.17,0.06,"S0"
0.226599905207357,0.08,8.69,0.065,"E"
-0.0579919469776868,0.04,7.15,0.3,"E"
-0.145693958198919,0.035,7.84,0.085,"S"
0.0606978403536116,0.055,8.96,0.17,"S0"
-0.139661993429006,0.035,8.25,0.24,"E"
0.0128372247051722,0.05,8.04,0.24,"E"
-0.145693958198919,0.035,7.04,0.21,"S0"
0.073351702386901,0.0375,8.4,0.07,"S0"
0.0273496077747565,0.05,8.51,0.14,"E"
0.0588054866759068,0.055,8.15,0.125,"S0"
-0.0409586076789064,0.045,8.67,0.095,"E"
0.197280558125619,0.04,9.99,0.125,"E"
0.197280558125619,0.075,8.71,0.085,"E"
0.0827853703164501,0.06,8.98,0.14,"E"
-0.0445527894223045,0.036,8.74,0.1,"S0"
0.170261715394957,0.07,8.96,0.045,"E"
-0.0783135245163979,0.04,7.84,0.08,"S0"
0.167021795790257,0.0145,9.26,0.15,"E"
-0.0222763947111523,0.045,7.95,0.24,"E"
0.273001272063738,0.09,9.77,0.03,"E"
-0.255707016877324,0.025,7.15,0.12,"E"
0.101231386790699,0.0165,8.68,0.045,"E"
-0.0915149811213502,0.04,7.92,0.12,"E"
0.0791812460476248,0.06,8.72,0.435,"S"
0.0513454993365388,0.016,8.6,0.065,"E"
0.28443073384452,0.095,9.63,0.1,"E"
-0.0530567293021746,0.04,8.28,0.09,"E"
0.301897717195208,0.028,10.32,0.435,"E"
-0.1249387366083,0.035,7.71,0.16,"E"
0.20682587603185,0.08,9.13,0.065,"E"
0.0728011494098492,0.017,8.84,0.07,"E"
0.0681858617461616,0.055,8.69,0.14,"E"
0.0779127029494562,0.0215,9.04,0.08,"E"
0.223236273102998,0.0475,9.56,0.16,"E"
-0.204467557289846,0.0165,7.11,0.19,"S0"
0.184833333933353,0.039,9.45,0.195,"E"
-0.474955192963155,0.015,7,0.3,"S0"
0.194236748723829,0.077,9.11,0.15,"E"
